"Time (s)";"Gyroscope x (rad/s)";"Gyroscope y (rad/s)";"Gyroscope z (rad/s)";"Absolute (rad/s)"
2,120541666E-2;4,554086830E-3;-1,811040565E-2;7,251800038E-3;2,003285061E-2
3,127241667E-2;3,595435247E-2;-2,179968171E-2;1,254882757E-2;4,387954714E-2
4,133941667E-2;5,853827298E-2;-4,738147557E-2;4,797847476E-3;7,546358705E-2
5,140641666E-2;6,698528677E-2;-8,711930364E-2;1,329492964E-2;1,106957852E-1
6,147341667E-2;7,157151401E-2;-1,150777340E-1;1,736680418E-2;1,366271290E-1
7,153941666E-2;6,314153969E-2;-9,425713867E-2;1,909546182E-2;1,150473767E-1
8,160641667E-2;4,976155609E-2;-6,053323299E-2;2,433532849E-2;8,205298881E-2
9,167341667E-2;3,701566905E-2;-4,204796255E-2;3,018602915E-2;6,363479603E-2
1,017404167E-1;2,341601066E-2;-4,057234153E-2;3,020445444E-2;5,573807963E-2
1,118074167E-1;1,317296177E-2;-2,892234176E-2;2,227622457E-2;3,881055212E-2
1,218744167E-1;2,119549783E-3;-4,976592027E-4;1,826236024E-2;1,839168175E-2
1,319404167E-1;7,039739750E-3;1,229563449E-2;1,817261241E-2;2,304309886E-2
1,420074167E-1;1,659702696E-2;1,114541478E-2;1,974387839E-2;2,809808372E-2
1,520744167E-1;2,971016616E-2;-1,429709513E-2;3,179495037E-2;4,580414578E-2
1,621414167E-1;4,920027405E-2;-4,280443490E-2;3,675397485E-2;7,485814105E-2
1,722084167E-1;4,990574345E-2;-5,551756546E-2;4,137882218E-2;8,535215421E-2
1,822744167E-1;3,025463037E-2;-4,561623558E-2;4,764198139E-2;7,256681059E-2
1,923414167E-1;-1,629264909E-3;-2,140250802E-2;4,786701873E-2;5,245925405E-2
2,024084167E-1;-1,885349303E-2;-1,272359863E-2;4,031557590E-2;4,628919768E-2
2,124754167E-1;-3,687244281E-2;-3,481664881E-2;3,641590849E-2;6,243311993E-2
2,225424167E-1;-4,602155089E-2;-4,711376131E-2;3,782611713E-2;7,595067339E-2
2,326094167E-1;-5,263684317E-2;-6,793515384E-2;3,959552199E-2;9,462361095E-2
2,426754167E-1;-4,688063264E-2;-9,495449066E-2;4,204481468E-2;1,139382089E-1
2,527424167E-1;-3,620029241E-2;-1,094165221E-1;2,619873732E-2;1,181897217E-1
2,628094167E-1;-2,838772722E-2;-1,156863645E-1;1,352348644E-2;1,198836213E-1
2,728764167E-1;-3,209937736E-2;-1,250596195E-1;5,225076340E-3;1,292191158E-1
2,829434167E-1;-5,597857013E-2;-1,277438700E-1;8,954886347E-3;1,397579573E-1
2,930094167E-1;-6,760805845E-2;-1,077214181E-1;1,216079947E-2;1,277600819E-1
3,030764167E-1;-6,925222278E-2;-9,228929877E-2;2,219426259E-2;1,174979588E-1
3,131434167E-1;-6,546015292E-2;-9,359637648E-2;2,714401484E-2;1,173972353E-1
3,232104167E-1;-5,295869708E-2;-1,174172908E-1;3,291470557E-2;1,329466871E-1
3,332774167E-1;-3,325343505E-2;-1,658921391E-1;3,315039352E-2;1,724092264E-1
3,433444167E-1;-1,289440412E-2;-2,331268042E-1;3,762125596E-2;2,364946752E-1
3,534104167E-1;7,807146292E-3;-2,887432277E-1;4,595881701E-2;2,924821635E-1
